geometry,bio1,bio3,bio7,bio12
"(148.397787, -36.379851)",6.881583,42.268078,23.133,1544.0
"(148.353946, -36.40392)",6.881583,42.268078,23.133,1544.0
"(148.378305, -36.413602)",6.881583,42.268078,23.133,1544.0
"(148.275115, -36.420239)",7.8357186,41.597527,23.50275,1500.0
"(148.391682, -36.373215)",6.881583,42.268078,23.133,1544.0
"(148.336891, -36.428415)",6.881583,42.268078,23.133,1544.0
"(148.393707, -36.37924)",6.881583,42.268078,23.133,1544.0
"(148.37793, -36.411948)",6.881583,42.268078,23.133,1544.0
"(148.259073, -36.422933)",7.8357186,41.597527,23.50275,1500.0
"(148.31284, -36.444927)",7.8357186,41.597527,23.50275,1500.0
"(148.259073, -36.422933)",7.8357186,41.597527,23.50275,1500.0
"(148.39675, -36.381747)",6.881583,42.268078,23.133,1544.0
"(148.248473, -36.424117)",7.8357186,41.597527,23.50275,1500.0
"(148.336891, -36.428415)",6.881583,42.268078,23.133,1544.0
"(148.353946, -36.40392)",6.881583,42.268078,23.133,1544.0
"(148.352784, -36.405096)",6.881583,42.268078,23.133,1544.0
"(148.311216, -36.446576)",7.8357186,41.597527,23.50275,1500.0
"(148.39675, -36.381747)",6.881583,42.268078,23.133,1544.0
"(148.28231, -36.4522)",7.8357186,41.597527,23.50275,1500.0
"(148.393707, -36.37924)",6.881583,42.268078,23.133,1544.0
"(148.312371, -36.446879)",7.8357186,41.597527,23.50275,1500.0
"(148.326705, -36.436805)",7.8357186,41.597527,23.50275,1500.0
"(148.259073, -36.422933)",7.8357186,41.597527,23.50275,1500.0
"(148.39675, -36.381747)",6.881583,42.268078,23.133,1544.0
"(148.37793, -36.411948)",6.881583,42.268078,23.133,1544.0
"(148.368407, -36.413914)",6.881583,42.268078,23.133,1544.0
"(148.395543, -36.379661)",6.881583,42.268078,23.133,1544.0
"(148.392092, -36.304852)",6.1706977,41.119827,23.4645,1692.0
"(148.260808, -36.449454)",7.8357186,41.597527,23.50275,1500.0
"(148.333783, -36.432552)",6.881583,42.268078,23.133,1544.0
"(148.393707, -36.37924)",6.881583,42.268078,23.133,1544.0
"(148.356364, -36.317108)",6.1706977,41.119827,23.4645,1692.0
"(148.394798, -36.283573)",6.1706977,41.119827,23.4645,1692.0
"(148.393707, -36.37924)",6.881583,42.268078,23.133,1544.0
"(148.393707, -36.37924)",6.881583,42.268078,23.133,1544.0
"(148.269729, -36.432016)",7.8357186,41.597527,23.50275,1500.0
"(148.352801, -36.415057)",6.881583,42.268078,23.133,1544.0
"(148.258414, -36.453932)",7.8357186,41.597527,23.50275,1500.0
"(148.387735, -36.292779)",6.1706977,41.119827,23.4645,1692.0
"(148.333783, -36.432552)",6.881583,42.268078,23.133,1544.0
"(148.401606, -36.380816)",6.881583,42.268078,23.133,1544.0
"(148.390551, -36.30213)",6.1706977,41.119827,23.4645,1692.0
"(148.28231, -36.4522)",7.8357186,41.597527,23.50275,1500.0
"(148.31284, -36.444927)",7.8357186,41.597527,23.50275,1500.0
"(148.377673, -36.418261)",6.881583,42.268078,23.133,1544.0
"(148.274849, -36.457887)",7.8357186,41.597527,23.50275,1500.0
"(148.389015, -36.364881)",6.881583,42.268078,23.133,1544.0
"(148.39137, -36.303689)",6.1706977,41.119827,23.4645,1692.0
"(148.397787, -36.379851)",6.881583,42.268078,23.133,1544.0
"(148.253145, -36.510618)",8.001604,41.846535,22.85225,1368.0
"(148.377673, -36.418261)",6.881583,42.268078,23.133,1544.0
"(148.401606, -36.380816)",6.881583,42.268078,23.133,1544.0
"(148.39675, -36.381747)",6.881583,42.268078,23.133,1544.0
"(148.395475, -36.287802)",6.1706977,41.119827,23.4645,1692.0
"(148.378305, -36.413602)",6.881583,42.268078,23.133,1544.0
"(148.387704, -36.373929)",6.881583,42.268078,23.133,1544.0
"(148.39675, -36.381747)",6.881583,42.268078,23.133,1544.0
"(148.333783, -36.432552)",6.881583,42.268078,23.133,1544.0
"(148.352784, -36.405096)",6.881583,42.268078,23.133,1544.0
"(148.398438, -36.382602)",6.881583,42.268078,23.133,1544.0
"(148.310064, -36.448374)",7.8357186,41.597527,23.50275,1500.0
"(148.310064, -36.448374)",7.8357186,41.597527,23.50275,1500.0
"(148.37793, -36.411948)",6.881583,42.268078,23.133,1544.0
"(148.307214, -36.452732)",7.8357186,41.597527,23.50275,1500.0
"(148.393707, -36.37924)",6.881583,42.268078,23.133,1544.0
"(148.395543, -36.379661)",6.881583,42.268078,23.133,1544.0
"(148.378305, -36.413602)",6.881583,42.268078,23.133,1544.0
"(148.256902, -36.425931)",7.8357186,41.597527,23.50275,1500.0
"(148.239555, -36.433585)",7.8357186,41.597527,23.50275,1500.0
"(148.239959, -36.428831)",7.8357186,41.597527,23.50275,1500.0
"(148.280725, -36.492223)",7.8357186,41.597527,23.50275,1500.0
"(148.333783, -36.432552)",6.881583,42.268078,23.133,1544.0
"(148.352643, -36.413003)",6.881583,42.268078,23.133,1544.0
"(148.333783, -36.432552)",6.881583,42.268078,23.133,1544.0
"(148.377673, -36.418261)",6.881583,42.268078,23.133,1544.0
"(148.253748, -36.465619)",7.8357186,41.597527,23.50275,1500.0
"(148.269103, -36.433302)",7.8357186,41.597527,23.50275,1500.0
"(148.401606, -36.380816)",6.881583,42.268078,23.133,1544.0
"(148.236425, -36.479547)",7.8357186,41.597527,23.50275,1500.0
"(148.39675, -36.381747)",6.881583,42.268078,23.133,1544.0
"(148.368407, -36.413914)",6.881583,42.268078,23.133,1544.0
"(148.310064, -36.448374)",7.8357186,41.597527,23.50275,1500.0
"(148.26337, -36.521327)",8.001604,41.846535,22.85225,1368.0
"(148.459399, -36.00639)",6.928167,41.78015,23.69975,1647.0
"(148.256902, -36.425931)",7.8357186,41.597527,23.50275,1500.0
"(148.310064, -36.448374)",7.8357186,41.597527,23.50275,1500.0
"(148.378305, -36.413602)",6.881583,42.268078,23.133,1544.0
"(148.31284, -36.444927)",7.8357186,41.597527,23.50275,1500.0
"(148.263639, -36.452714)",7.8357186,41.597527,23.50275,1500.0
"(148.459399, -36.00639)",6.928167,41.78015,23.69975,1647.0
"(148.37793, -36.411948)",6.881583,42.268078,23.133,1544.0
"(148.450743, -35.999643)",8.269542,41.030262,23.858,1440.0
"(148.461854, -36.009001)",6.928167,41.78015,23.69975,1647.0
"(148.451831, -35.998449)",8.269542,41.030262,23.858,1440.0
"(148.461854, -36.009001)",6.928167,41.78015,23.69975,1647.0
"(148.450743, -35.999643)",8.269542,41.030262,23.858,1440.0
"(148.450743, -35.999643)",8.269542,41.030262,23.858,1440.0
"(148.461854, -36.009001)",6.928167,41.78015,23.69975,1647.0
"(148.392241, -35.951583)",8.269542,41.030262,23.858,1440.0
"(148.392241, -35.951583)",8.269542,41.030262,23.858,1440.0
"(148.39239, -35.951825)",8.269542,41.030262,23.858,1440.0
"(148.392241, -35.951583)",8.269542,41.030262,23.858,1440.0
"(148.467196, -36.000859)",6.928167,41.78015,23.69975,1647.0
"(148.39239, -35.951825)",8.269542,41.030262,23.858,1440.0
"(148.40889, -36.006805)",6.928167,41.78015,23.69975,1647.0
"(148.40889, -36.006805)",6.928167,41.78015,23.69975,1647.0
"(148.467196, -36.000859)",6.928167,41.78015,23.69975,1647.0
"(148.392241, -35.951583)",8.269542,41.030262,23.858,1440.0
"(148.40889, -36.006805)",6.928167,41.78015,23.69975,1647.0
